type,count,pct
"Crime TV Shows, International TV Shows, Romantic TV Shows",6,0.08
"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",6,0.08
"Dramas, Sci-Fi & Fantasy",6,0.08
"Action & Adventure, Documentaries, International Movies",6,0.08
"International TV Shows, Reality TV, Romantic TV Shows",6,0.08
"Docuseries, International TV Shows, Spanish-Language TV Shows",6,0.08
"International TV Shows, Korean TV Shows, Reality TV",6,0.08
Stand-Up Comedy & Talk Shows,6,0.08
"Action & Adventure, International Movies, Romantic Movies",6,0.08
"Horror Movies, Sci-Fi & Fantasy, Thrillers",6,0.08
"Music & Musicals, Stand-Up Comedy",6,0.08
"British TV Shows, International TV Shows, Romantic TV Shows",6,0.08
"Comedies, International Movies, Thrillers",6,0.08
"Action & Adventure, Comedies, Romantic Movies",5,0.06
"Action & Adventure, Dramas, Sci-Fi & Fantasy",5,0.06
"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",5,0.06
"Comedies, Horror Movies, Independent Movies",5,0.06
"Children & Family Movies, Comedies, International Movies",5,0.06
"Kids' TV, TV Thrillers",5,0.06
"TV Dramas, Teen TV Shows",5,0.06
"Children & Family Movies, Dramas, Faith & Spirituality",5,0.06
"TV Dramas, TV Thrillers",5,0.06
"International TV Shows, TV Action & Adventure, TV Comedies",5,0.06
"Classic & Cult TV, TV Comedies",5,0.06
"International TV Shows, Korean TV Shows, TV Action & Adventure",5,0.06
"TV Comedies, Teen TV Shows",5,0.06
"Docuseries, International TV Shows, Reality TV",5,0.06
"Dramas, Sci-Fi & Fantasy, Thrillers",5,0.06
"TV Action & Adventure, TV Dramas",5,0.06
"Action & Adventure, Anime Features, Sci-Fi & Fantasy",5,0.06
"Independent Movies, International Movies, Thrillers",5,0.06
"Dramas, Music & Musicals",5,0.06
"TV Dramas, TV Mysteries, TV Sci-Fi & Fantasy",4,0.05
"Action & Adventure, Cult Movies, International Movies",4,0.05
"Dramas, Romantic Movies, Sci-Fi & Fantasy",4,0.05
"International TV Shows, Romantic TV Shows, Teen TV Shows",4,0.05
"Cult Movies, Horror Movies",4,0.05
"Romantic TV Shows, TV Comedies",4,0.05
"Kids' TV, Korean TV Shows, TV Comedies",4,0.05
"Comedies, Music & Musicals",4,0.05
"Action & Adventure, Horror Movies, International Movies",4,0.05
"Comedies, Independent Movies, LGBTQ Movies",4,0.05
"Children & Family Movies, Documentaries, International Movies",4,0.05
"Comedies, Dramas, LGBTQ Movies",4,0.05
"Action & Adventure, Children & Family Movies, Comedies",4,0.05
"British TV Shows, Crime TV Shows, TV Dramas",4,0.05
"Horror Movies, Sci-Fi & Fantasy",4,0.05
"International TV Shows, Stand-Up Comedy & Talk Shows",4,0.05
"TV Horror, TV Mysteries, TV Thrillers",4,0.05
"Comedies, Horror Movies, Sci-Fi & Fantasy",4,0.05
"Kids' TV, TV Comedies, TV Dramas",4,0.05
"British TV Shows, International TV Shows, TV Action & Adventure",4,0.05
"TV Horror, TV Mysteries, TV Sci-Fi & Fantasy",4,0.05
"International TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy",4,0.05
"Docuseries, Reality TV, Science & Nature TV",4,0.05
"International Movies, Sci-Fi & Fantasy",4,0.05
"Independent Movies, Sci-Fi & Fantasy, Thrillers",3,0.04
International Movies,3,0.04
"Crime TV Shows, TV Action & Adventure, TV Comedies",3,0.04
"Action & Adventure, Anime Features, Children & Family Movies",3,0.04
"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",3,0.04
"Comedies, Faith & Spirituality, International Movies",3,0.04
"Action & Adventure, Romantic Movies",3,0.04
Romantic Movies,3,0.04
"Classic Movies, Comedies, International Movies",3,0.04
"Anime Series, International TV Shows, TV Horror",3,0.04
"British TV Shows, Classic & Cult TV, TV Comedies",3,0.04
"Dramas, Romantic Movies, Sports Movies",3,0.04
"Action & Adventure, Independent Movies, International Movies",3,0.04
"Children & Family Movies, Classic Movies, Comedies",3,0.04
"Docuseries, TV Comedies",3,0.04
"International Movies, Music & Musicals, Thrillers",3,0.04
"Comedies, Sci-Fi & Fantasy",3,0.04
"Reality TV, TV Comedies",3,0.04
"Horror Movies, Independent Movies, Sci-Fi & Fantasy",3,0.04
"Action & Adventure, Children & Family Movies, Classic Movies",3,0.04
"Kids' TV, Spanish-Language TV Shows",3,0.04
"TV Action & Adventure, TV Dramas, TV Mysteries",3,0.04
"International TV Shows, TV Comedies, TV Sci-Fi & Fantasy",3,0.04
"Children & Family Movies, Sports Movies",3,0.04
"Anime Series, International TV Shows, TV Thrillers",3,0.04
"Action & Adventure, Horror Movies",3,0.04
"Children & Family Movies, Dramas, Independent Movies",3,0.04
"Classic Movies, Comedies, Dramas",3,0.04
"Crime TV Shows, Docuseries, TV Mysteries",3,0.04
"Action & Adventure, Classic Movies, Comedies",3,0.04
"Classic Movies, Comedies, Cult Movies",3,0.04
